id,county,name,type,location,gloves,mask,homeade,gender,age,uncover_nose,touch_face,remove_mask,broke_6ft,date
store_1,dane,pns,grocery,urban,,1,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,0,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,0,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,1,e,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,0,e,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,0,y,,,1,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,1,e,,,1,,5.16.20
store_1,dane,pns,grocery,urban,,1,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,0,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,0,a,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,1,a,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,1,1,a,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,0,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,0,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,0,a,,,,1,5.16.20
store_1,dane,pns,grocery,urban,,0,,1,a,,,,1,5.16.20
store_1,dane,pns,grocery,urban,,1,0,1,a,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,0,1,e,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,0,e,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,1,a,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,0,a,,,,,5.16.20
store_1,dane,pns,grocery,urban,,1,,1,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,0,y,,,,,5.16.20
store_1,dane,pns,grocery,urban,,0,,1,y,,,,,5.16.20
