"","county","homemade_mask_usage"
"1","adams","13/20 (65)"
"2","brown","60/119 (50.4)"
"3","dane","238/644 (37)"
"4","fond_du_lac","5/24 (20.8)"
"5","grant","16/38 (42.1)"
"6","iowa","28/57 (49.1)"
"7","jackson","18/25 (72)"
"8","kenosha","21/48 (43.8)"
"9","lafayette","6/16 (37.5)"
"10","milwaukee","25/41 (61)"
"11","monroe","3/10 (30)"
"12","outagamie","35/90 (38.9)"
"13","pierce","19/46 (41.3)"
"14","polk","14/29 (48.3)"
"15","racine","20/36 (55.6)"
"16","st_croix","0/19 (0)"
"17","walworth","7/22 (31.8)"
"18","waushara","16/27 (59.3)"
"19","winnebago","8/27 (29.6)"
"20","wood","18/25 (72)"
